g, 32.8105, 29.762943, -45.814297, 65.78534, 57.52839, 67.237564, 77.81416, 112.52137, 120.01906, 77.692665, 15.757506, 100.23554, 97.10242, 24.375034, 134.88391, 0.082673974, 111.45651, 6.7263665, 9.806385, 132.49538, 156.3894, 33.615417, 80.223694, 166.50894, 55.93931, 33.443287, 80.46101, 165.07607, 47.043457, 13.573393, 19.604034, 130.04288, 131.15622,
k, -9.669719, 4.579449, 2.9726036, 73.82277, 87.58363, 35.604156, 50.010983, 79.039, 107.81421, 119.1352, 100.68879, 103.45783, 19.700552, 2.3825142, 100.15578, 0.033866134, 111.370285, 5.305764, 6.627262, 75.723465, 168.62364, 3.5664794, 4.397381, 103.09849, 171.16272, 48.823643, 74.7824, 114.99589, 97.16321, 47.95393, 74.961266, 103.872406, 85.733574,
w, 2.9139085, -2.6602852, -15.211842, 100.24647, 128.17174, 124.48211, 49.445812, 39.949432, 66.188446, 107.15913, 41.052647, 120.71601, 101.94048, 35.434208, 138.88066, 0.07187098, 112.14291, 6.847098, 8.287231, 106.462524, 165.77724, 4.066161, 4.6086264, 93.84396, 173.7615, 6.373219, 7.50666, 94.65633, 163.75737, 25.998165, 44.733154, 145.77127, 100.47966,
l, 10.727857, -5.3460126, 4.6179004, 121.85623, 103.22267, 114.37228, 118.13136, 124.31351, 130.01935, 121.6492, 14.727145, 25.080282, 14.718848, 25.462107, 115.534935, 0.025976803, 127.119446, 4.5504417, 6.0482087, 108.22993, 162.3139, 29.783598, 69.317215, 159.69249, 66.675545, 29.215305, 69.09401, 162.77557, 57.466755, 29.008081, 66.80817, 167.48251, 58.375816,
m, -1.5870856, 2.8573265, 4.1367745, 37.69386, 61.964066, 72.44741, 70.11903, 30.023994, 51.82708, 64.538635, 28.37777, 51.977104, 28.76157, 18.457594, 103.39184, 0.021134952, 109.423676, 30.120483, 39.541122, 101.349045, 143.67499, 26.222736, 32.77118, 92.87186, 156.8544, 25.015038, 30.731882, 86.69932, 149.31158, 27.04681, 34.14633, 86.42874, 126.72643,
u, -35.38635, 14.243065, 4.6877246, 83.842186, 85.074936, 34.92996, 36.020935, 26.463686, 117.947266, 117.36446, 119.8659, 118.151985, 18.86688, 10.375964, 79.33926, 0.0, 106.16615, 3.2721486, 4.240874, 84.762695, 165.389, 2.6591232, 3.5280216, 84.52981, 171.80988, 24.097294, 48.62033, 109.79419, 92.56721, 23.209915, 48.7151, 112.90984, 79.57071,
n, -9.570318, -10.225354, -7.6918726, 47.1103, 45.86749, 28.73777, 14.021773, 20.37424, 37.092022, 47.91615, 24.844856, 40.72618, 20.655897, 36.088207, 129.62509, 0.01267636, 99.095604, 30.6298, 45.418488, 126.97315, 132.06082, 30.918179, 44.209454, 126.08789, 140.47179, 29.328274, 43.684826, 130.78453, 127.791985, 28.776285, 43.636208, 117.03664, 110.36488,
b, -7.479627, 4.8346243, 11.909402, 107.979, 111.26905, 95.81122, 32.123844, 31.343178, 62.6572, 89.76616, 37.140556, 86.922554, 67.86928, 42.237694, 111.99126, 0.053456087, 93.15527, 4.444324, 5.3343077, 84.476776, 164.24277, 4.498941, 5.2931013, 86.19675, 172.58472, 6.44752, 7.7156262, 94.71127, 162.67679, 28.245392, 39.90246, 105.865746, 120.25459,
o, -42.530067, 19.534012, -23.337069, 22.64921, 10.16932, 27.589622, 27.743431, 31.642902, 44.381767, 47.83455, 20.39668, 22.342613, 18.429676, 92.87502, 84.614815, 0.01429535, 86.81459, 34.341156, 64.846664, 95.33279, 107.79496, 37.165176, 73.88614, 90.803665, 80.81683, 17.242725, 39.58073, 87.541145, 86.64013, 17.194881, 40.119957, 81.09731, 76.12334,
m, 2.3531418, 9.997315, 14.883854, 15.125001, 11.733639, 42.043133, 41.11918, 18.438576, 49.766293, 49.94838, 32.575397, 32.24663, 21.403524, 41.82505, 104.61704, 0.025085108, 105.87698, 48.449455, 72.017654, 114.468834, 109.07871, 48.42979, 71.48009, 106.57572, 110.107216, 20.562433, 31.90807, 109.7898, 130.89333, 19.797377, 31.684164, 112.081184, 112.34287,
